"001004721731380","Frigorífico combi Saivod CT2000FNFW No Frost","Saivod",,"439","A+","244","Blanco","60","201","59.5","A+, altura 201 cm, blanco.","Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES/201202/09/00104721731380___P1_225x225.jpg://sgfm.elcorteingles.es/SGFM/dctm/NO_RENDER/201202/09/00104721731380___S1_600x600.jpg","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES/201202/09/00104721731380___P1_600x600.jpg://sgfm.elcorteingles.es/SGFM/dctm/NO_RENDER/201202/09/00104721731380___S1_600x600.jpg",
"001004721744987","Frigorífico combi Fagor FFK6735B No Frost","Fagor","699","429","A+","233","Blanco","59.5","185","68.3","El recinto Multifresh en el refrigerador crea las condiciones óptimas de temperatura y humedad para mantener más tiempo frescos carnes, pescados, frutas y verduras.","Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/20/00104721744987____1__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/20/00104721744987____2__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/20/00104721744987____1__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/20/00104721744987____2__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/20/00104721744987____1__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/20/00104721744987____2__1200x1200.jpg"
"001004721737585","Frigorífico combi Bosch KGN36VW26 No Frost","Bosch",,"559","A+","233","Blanco","60","186","65","A+, altura 186 cm, blanco.","Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/27/00104721737585____1__225x225.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/27/00104721737585____2__600x600.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/27/00104721737585____1__600x600.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/27/00104721737585____2__600x600.jpg",
"001004721727958","Frigorífico combi Saivod CT1830DNFI No Frost","Saivod",,"449","A+","193","Inox antihuellas","59.5","185.3","60","A+, altura 185,3 cm, inox antihuellas.","Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/27/95/8/04721727958/04721727958000l01011.jpg://sgfm.elcorteingles.es/SGFM/dctm/NO_RENDER02/201210/19/00104721727958___S1_600x600.jpg","//sgfm.elcorteingles.es/SGFM/27/95/8/04721727958/04721727958000g01011.jpg://sgfm.elcorteingles.es/SGFM/dctm/NO_RENDER02/201210/19/00104721727958___S1_600x600.jpg",
"001004721736835","Frigorífico combi Samsung RB31FEJNCSS/EF No Frost","Samsung",,"699","A++","206","Acero inoxidable con tratamiento antihuellas","59.5","185","66.8","Compresor Digital Inverter.","Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/19/00104721736835____1__225x225.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/19/00104721736835____2__600x600.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/19/00104721736835____1__600x600.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201303/19/00104721736835____2__600x600.jpg",
"001004721319988","Frigorífico de 2 puertas Teka FT3240 con bandejas de cristal","Teka","319","259","A+","187","Blanco","54","144","60","A+, altura 144 cm, blanco.","Frigoríficos 2 puertas","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES/201112/13/00104721319988___P1_225x225.jpg","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES/201112/13/00104721319988___P1_600x600.jpg",
"001004721220582","Frigorífico mini Saivod FSM614W con congelador","Saivod",,"129","A+","45","Blanco","47.2","49.2","45","A+, altura 49,2 cm, blanco.","Frigoríficos minis","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201501/02/00104721220582____1__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201501/02/00104721220582____1__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201501/02/00104721220582____1__1200x1200.jpg"
"001004721221473","Frigorífico de 1 puerta Saivod 1PT1704W con sistema de frío estático","Saivod",,"359","A+",,"Blanco","59.5","171.4","65","A+, altura 171,4 cm, blanco.","Frigoríficos 1 puerta","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201412/30/00104721221473____1__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201412/30/00104721221473____2__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201412/30/00104721221473____1__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201412/30/00104721221473____2__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201412/30/00104721221473____1__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201412/30/00104721221473____2__1200x1200.jpg"
"001004721318451","Frigorífico de 2 puertas Saivod 2PT1450 con bandejas de cristal","Saivod",,"259","A+","179","Blanco","54","145.8","60","A, altura 145,8 cm, blanco.","Frigoríficos 2 puertas","//sgfm.elcorteingles.es/SGFM/18/45/1/04721318451/04721318451000l01011.jpg","//sgfm.elcorteingles.es/SGFM/18/45/1/04721318451/04721318451000g01011.jpg",
"001004721743849","Frigorífico combi Bosch KGN36XI45 No Frost","Bosch","869","839","A+++","234","Acero antihuellas","60","186","65","A+++, altura 186 cm, acero antihuellas.","Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721743849____4__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721743849____5__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721743849____4__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721743849____5__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721743849____4__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721743849____5__1200x1200.jpg"
