"001004721739151","Frigorífico combi LG GBB539NSQPB Total No Frost","LG","699","577.65","/electrodomesticos/A10079784-frigorifico-combi-lg-gbb539nsqpb-total-no-frost/","Combi","A++",,"Acero antihuellas","59,5 x 190 x 68,6 cm","A++, altura 190 cm, acero antihuellas.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201310/14/00104721739151____1__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201409/23/00104721739151____2__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201310/14/00104721739151____1__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201409/23/00104721739151____2__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201310/14/00104721739151____1__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201409/23/00104721739151____2__1200x1200.jpg"
"001004721010066","Congelador horizontal Haier BD66GAA con capacidad de 66 litros","Haier","229","156.19","/electrodomesticos/A14018426-congelador-horizontal-haier-bd66gaa-con-capacidad-de-66-litros/",,"A+",,"Blanco",,"A+, ancho 44 cm, blanco.","Electrodomésticos:Frigoríficos y Congeladores:Congeladores","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201402/14/00104721010066____1__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201402/14/00104721010066____1__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201402/14/00104721010066____1__1200x1200.jpg"
"001004721745828","Frigorífico combi Liebherr CN3515 No Frost","Liebherr","929","767.73","/electrodomesticos/A18589662-frigorifico-combi-liebherr-cn3515-no-frost/","Combi","A++","221 litros","Blanco","60 x 181,7 x 62,5 cm","A++, altura 181,7 cm, blanco.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00104721745828____1__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00104721745828____2__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00104721745828____1__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00104721745828____2__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00104721745828____1__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00104721745828____2__1200x1200.jpg"
"001004720120577","Congelador vertical Balay 3GF8601B No Frost","Balay","599","495.01","/electrodomesticos/A8486188-congelador-vertical-balay-3gf8601b-no-frost/",,"A++",,"Blanco",,"Mayor capacidad. Los frigoríficos y congeladores de una puerta te permiten almacenar una mayor cantidad de alimentos con un menor consumo energético.","Electrodomésticos:Frigoríficos y Congeladores:Congeladores","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES02/201303/01/00104720120577___P1_225x225.jpg","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES02/201303/01/00104720120577___P1_600x600.jpg",
"001004721743609","Frigorífico combi Siemens KG39NXX30 NoFrost multiAirflow","Siemens","890","735.5","/electrodomesticos/A14715330-frigorifico-combi-siemens-kg39nxx30-nofrost-multiairflow/","Combi","A++","269 litros","Negro inox antihuellas","60 x 201 x 65 cm","A++, altura 201 cm, negro.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201503/10/00104721743609____1__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201503/10/00104721743609____2__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201503/10/00104721743609____1__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201503/10/00104721743609____2__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201503/10/00104721743609____1__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201503/10/00104721743609____2__1200x1200.jpg"
"001004721221358","Frigorífico mini Candy CCTOS542XH con zona congelador","Candy","299","247.09","/electrodomesticos/A12727413-frigorifico-mini-candy-cctos542xh-con-zona-congelador/","Mini","A+","95 litros","Inox","55 x 85 x 58 cm","A+, altura 85 cm, inox.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos minis","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/30/00104721221358____1__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/30/00104721221358____2__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/30/00104721221358____1__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/30/00104721221358____2__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/30/00104721221358____1__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/30/00104721221358____2__1200x1200.jpg"
"001004721219592","Frigorífico mini Beko TS190320 (V2) con compartimento congelador","Beko","209","172.72","/electrodomesticos/A7570419-frigorifico-mini-beko-ts190320-v2-con-compartimento-congelador/","Mini","A+","86 litros","Blanco","47,5 x 81,8 x 53 cm","A+, altura 81,8 cm, blanco.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos minis","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201409/22/00104721219592____1__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201409/22/00104721219592____1__640x640.jpg",
"001004721416685","Frigorífico Side by Side Bosch KAN90VI30 No Frost","Bosch","1639","1354.47","/electrodomesticos/A14977406-frigorifico-side-by-side-bosch-kan90vi30-no-frost/","Side by Side","A++","373 litros","Inox antihuellas","91 x 177 x 72 cm","A++, altura 177 cm, inox antihuellas.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos Side by Side","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721416685____4__210x210.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721416685____5__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721416685____4__640x640.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721416685____5__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721416685____4__1200x1200.jpg://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201509/23/00104721416685____5__1200x1200.jpg"
"001004721740944","Frigorífico combi Bosch KGN33X71 No Frost","Bosch","539","445.43","/electrodomesticos/A12028051-frigorifico-combi-bosch-kgn33x71-no-frost/","Combi","A+","186 litros","Acero antihuellas","60 x 170 x 61 cm","A+, altura 170 cm, acero antihuellas.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201404/02/00104721740944____1__210x210.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201404/02/00104721740944____1__640x640.jpg","//sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201404/02/00104721740944____1__1200x1200.jpg"
"001004721732941","Frigorífico combi Liebherr CNSl 3033 No Frost","Liebherr","829","685.09","/electrodomesticos/A5650079-frigorifico-combi-liebherr-cnsl-3033-no-frost/","Combi","A+","197 litros","Silver","55 x 180 x 62,9 cm","A+, altura 180 cm, silver.","Electrodomésticos:Frigoríficos y Congeladores:Frigoríficos combi","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES02/201204/10/00104721732941___P1_225x225.jpg","//sgfm.elcorteingles.es/SGFM/dctm/IMAGENES02/201204/10/00104721732941___P1_600x600.jpg",
